,Komentar
54,"

Mana mau anggota DPR tunjangan nya di kurangi.....bisa bisa tunjangan malah di naikan alesan  karena harga bbm naik....bbm naik ya tunjangan naik juga lah
"
55,"

PERCUMA GA DIDENGER
"
56,"

GARA GARA MOBIL PRIBADI PAKE bbm subsidi/pertalit HARGA PERTALITE JADI NAIK KARENA MOBIL ISI BENSIN 30 LITER, kalo motor isi bensin 2 liter doang️️️️️
MOBIL PRIBADI 1300cc HARGA NYA RATUSAN JUTA RUPIAH TAPI PAKE bbm subsidi/pertalite️️️️️️️
"
57,"

setuju bung.. kerja duduk doang tunjangannya gede kt rakyatnya kesusahan.
"
58,"

usul bgs. klo bisa kyk sales aja jadi klo target tecapai baru kasih bonus.. hehehheh
"
59,"

​ @Niagara Klisu  hati2 kenapa itu pendapat bos. in negara demokrasi kenapa takut berpendapat.
"
60,"

Gabakal disetujui, orang itu menyangkut kenikmatan/ incaran/ tujuan yg mereka kejar. Mayoritas bakal bersuara ""no"" lalu secara undang akan tetap sama.
"
61,"

Hentikan saja pembangunan IKN pak kalau memang belum mampu...
"
62,"

jadi yg kena rakyat lagi rakyat lagi hebat di mana nya wong kita susah dan yg susah sa yg enak banyak yg susah hati hati bahaya kalau sudah masalah perut
"
63,"

 @Tonny Fernando  wkwwkw yaa udah kmu pindah ke negara tetanga,,,
Coba kmu bnyak ngoceh di pakai gk manusia  seperti kmu di negara tetanga,,,? Manusia seperti kmu itu  biasa memuja punya tetanga,,, gk berusaha hidup lbih baik,,,
"
64,"

 @Abbang ajjah  sekarang manaungkin wong sari pihak dia sendiri ingin sesuatu dulu paham gak?
"
65,"

 @Eko Berahan  ya dunia,y akirat bosku
"
66,"

Tinggi nya cita cita buruk yaitu menjadi pelangsir minyak,membuat indonesia ketar ketir.
"
67,"

 @Tuan Muda  emang dak ada yg maksa bos
"
68,"

 @ibael pazzo  hi ngeri
"
69,"

 @PUTTU WIRYO REJO  malu dunk dgn negara ttgga masa smp skrg msh djajah sdh 400thn lebih
"
70,"

 @ronin  karena yang nakal itu sebagian besarnya adalah pejabat ... 
"
71,"

 @Niagara Klisu   hati2 apa.
"
72,"

Mana mereka mau tunjungan dpr diturunkan,negeri dogeng
"
73,"

Gaji DPR sedang bro tapi bonusnya bisa ratusan juta rupiah
"
74,"

Kendaraan juga butuh makan.bukan cuma manusia aja
"
75,"

NGIMPII
"
76,"

 @Arif yes ehehehehhe wahahahahha  awkwk banyak2 baca tong, elu mau samain Harga di negara maju vs negara belum maju..Amerika ama negara maju lain lu kira UMR ny cuma 4 / 5 juta an apa? kocak lu
"
77,"

 @Saputra Bro  nyatanya anda masih bisa beli kuota, kok ngeluh gak bisa makan, aneh
"
78,"

 @PUTTU WIRYO REJO  ente kadang kadang ......hehehe kerja dimana bossku  pingin dong diajak kerja sama bossku yang pinter ini
"
79,"

Bagus subsidi BBM di cabut
"
80,"

Up
"
81,"

Up
"
82,"

Up
"
83,"

 @Yuniarto S  sebelum BBM naik sudah beli kouta DOBOLLL. BBM naik semua naik bol DOBOLLL.
"
84,"

Ini baru presiden pro rakyat .......
"
85,"

Nah ni yg bener
"
86,"

Mustahil
"
87,"

 @Gatot Sunardi84  yg bayar udah males gagal trus,,, uang udah hbis, ACT nya sdah di tutup,,,  harta sdah bnyak yg di ambil alih,, dananya mnipis,,, 
"
88,"

 @Gaya Baru  wkwwkw 
"
89,"

dapak mudun tunjangane malah naik kok hahaha aduhai
"
90,"

 @marine rachmad  gaji besar saja masih nyabet sana sini, apalagi gajinya kecil...
"
91,"

DPR udah dapat gaji gede, nantinya dpt pensiunan jg.
Mantap dah,..
"
92,"

IKN.....,mengorbankan rakyat
"
93,"

 @Ricky Design  ciyeeee tersungging...takut bini muda nya gk bisa foya Foya lagi yaa 
"
94,"

Innalillahhiwainnailaihi rojiun
"
95,"

 @Niagara Klisu  ati ati kenapa bung?
"
96,"

Hapuskan subsidi saja pak presiden,
"
97,"

Bubarkan juga KSP dan buzzer Istana mengahabiskan anggaran aja
"
98,"

Setuju dengan suara Anda
"
99,"

 @Dudu Dustira  dalam menjalani kehidupan   mas karena perubahan jaman saat ini sangatlah cepat
"
100,"

 @ARA Channel   ya nambah2 om.. lumayan.. 200jt x 450 orang
"
101,"

Setujuuuuu
"
102,"

 @Yadi Heizel  dalam menjalani kehidupan bung
"
103,"

Kalau boleh tau. Kerja anggota dewan itu sehari2nya apa ya...jika misal mereka di gajih 30 juta perbulan.  Terus timbal balik buat kebaikan negara ini apa ya..soalnya penarasan juga. Mungkin ada yang tau. 
"
104,"

 @KAKA 280910  yang betulnya,tunjangan dinaikkan sesuai dengan kelipatan subsidi.gaji dinaikkan juga.proyek ditambah.suap dibiarkan.bablas .....bablas deh.emang gua pikirin......tinggal nyari pembenarannya
"
105,"

Justru DPR adalah tempat di mana orang dengan mudah bisa menambah TABUNGANnya. Buktinya dari Penyanyi, Pelawak, sampai Pengusaha beralih menjadi anggota  DPR.
"
106,"

Lu protes, mereka dah pulang & mau malem mingguan  brooerrr...
"
107,"

Zaman SBY dulu gak gini amat..

Kami sedusun yg mendukung pakdhe hampir 3 periode cuma bisa berkata
""KECEWAAA""
"
108,"

 @PUTTU WIRYO REJO  sotoy
"
109,"

 @CX XC  bwtul bro,tak ada lagi gunanya protes di negri ini.anggaplah garam itu gula.karena sama sama putih
"
110,"

Alhamdulillah ...akhirnya aku bisa bersodaqoh kepada pejabat"" negeri tercintaku ini....berbahagialah wahai pejabat 
"
111,"

Kalo ada yg naik pasti nanti ada yg turun
"
112,"

Terimakasih pak... Semoga Allah selalu melindungi bapak. Saya guru honor dengan gaji 450 ribu/bulan dengan tanpa tunjangan tambahan apa2. Setiap hari pake motor untuk mengajar, menghidupi istri dan anak saya. Waktu saya habis di sekolah. Dari seorang sarjana dengan gaji minim, semoga bapak senang dengan semua yg telah bapak lakukan.
"
113,"

Sama
"
114,"

Akhirnya kita-kita ini jadi orang mampu dan yang dimampukan oleh keadaan. 
Semoga Allah berikan kita semua rezeki yang halal, baik, berkah dan melimpah. 
Untuk bapak2/ibuk2 selamat anda semua telah berhasil. 
Semuanya akan dipertanggung jawabkan.
"
115,"

Aamiiin
"
116,"

Semoga sy bisa antar jemput anak saya yg jd guru honorer ,karena terbatas tdk bisa naik montir sendiri, semoga Tuhan Allah maha kaya memperkayakan orang"" hidup sangat"" sederhana. Aamiin
"
117,"

Aminnn
"
118,"

Amin3 yra, semoga kita semua bangsa Indonesia bahagia lahir batin. 
"
119,"

Trima kasih pak cita2 nawacita agar rakyat sengsara makin mendekati kenyataan....semoga pak jokowi segera dijemput Allah SWT dg damai. Aamiin.
"
120,"

Semoga yg mendo, akan jelek, kembali ke dirinya sendiri... Aamiin YRA... 
"
121,"

 @eka indah mayangsari  Allah SWT tidak mengabulkan do orang kafit atau munafik...alhamdulillah
"
122,"

Terimakasih buat bpk2 & ibuk2 yg udah berupaya buat melindungi rakyat,,,melindungi rakyat miskin agar tidak sejahtera,pensiunan DPR,PNS,Mentri klo bisa diperbesar lagi pak buk
"
123,"

Iya terima kasih pak presiden dan jajarannya. Krn akn memberikan subsidi bbm sebesar 150rb. Alhamdulillah nanti bisa buat tas birkin kaya ibu"" pejabat .
"
124,"

Sama"", terima kasih kembali pak ️
"
125,"

 @Tuti  Ajiwirya  iaa sama2 buk 
"
126,"

Haaahaa segera minum sianida,,, dripda sakit se umur hidupmu
"
127,"

Sambosambo bpk,ibu, keadilan hancur, kesejahteraan terkapar.
"
128,"

Saya selagi PKL. Sangat berterima kasih. Karena dari jaman covid sampai sekarang tidak ada bansos sama sekali. Sekarang kena Harga BBM naik, LPG naik, semua naik. Harga jualan mau dinaikkan pelanggan pada bubar. Terus kalau gak ada pemasukan mau makan apa pak keluarga saya??????
"
129,"

Pensiunan swasta ga ada gaji tapi tidak masalah sudah di antisipasi dan persiapan jauh hari malah sejak muda. Bertani sedikit hidup sederhana lebih siap tanpa keluh kesah dan santai.
"
130,"

 @Saputra Bro  perkuat di boncabe 1 bungkus bisa dimakan 5 kali
"
131,"

 @FX Daniel  sudah Kembali utk Sbpnm kami Putra Pak Kamli Ridiwan  Sudah Meninggal  Di Mana Mungkin
"
132,"

Negara ttgga brlomba2 mnsejahteraken rkyat ini mlah mnjajah rkyat
"
133,"

 @Saputra Bro  cemen amat menghadapi kenyataan hidup..
"
134,"

Terlalu banyak kebijakan yg tdk tepat sasaran cuma di nikmati orang kaya bikin bangrut negara' inilah resikonya
"
135,"

 @Dudung Andimin  bukan Cemen. Tapi itu nyata. Dan gak terlalu berharap bansos nyatanya dari covid aja gak dpt bantuan fine² aja. Cuman kalau semua harga naik. Ya pusing bro.
"
136,"

 @Saputra Bro  merana sekali hidupmu bro cian deh lu coba pandai bersyukur optimis toh kuota msh ngaciiir 
"
137,"

Terimakasih Pak Soeharto dan Pak SBY
"
138,"

 @PUTTU WIRYO REJO  kamu itu ga lihat dinegara luar semua juga bahan pokok ,bahan bakar minyak goreng semua naik tapi ga ada yg demo hanya diindinesia dikit dikit demo yg disalahin presiden
"
139,"

 @Gatot Sunardi84  makanya jangan mengharapkan terus dari pemerintah kerja dong usaha jadi ga terkapar malu maluin aja pengennya dapet bansos
"
140,"

SIAAAP . Naik  tanpa BBM.
"
141,"

 @Saputra Bro  gak usah pusing..lbh pusing mn org ngatur negara dg pribadi sendiri..anda pedagang mengatur agar ada keuntungan..bgt jg dg pemerintah agar pertamina tdk merugi krn bakar duit untuk subsidi bbm yg kenyataannya menguntungkan org2 kaya..org bermobil pk bbm subsidi..org miskin hy memiliki mtr yg menggunakan bbm bersubsidi hy dpt kuota bbm sesuai kapasitas tangki mtr(4ltr).sdgkn bermobil bertangki bbm bs memuat ratusan ltr
"
142,"

Ga tsu terimakasih anda
"
143,"

 @Muhamad Muhit hahahaaaa pak suharto emang lo ngalamin saya yg udah ngalamin tiap hari yg ada kegelapan listrik aja ga ada makan aja susah tv hitam putih aja bayar pajak satu kampung aja ga ada yg punya motor
"
144,"

Presiden negeri dogeng
"
145,"

 @tiah 1209  liiiiaaah trus apa masalahnya dengn komen saya,,,,? Orang""yg mlas kerja, pembenci pemerintah, kususnya kadrum pembenci pk jokowi q suruh minum sianida,,, biar gk sakit hati berkepanjangn,,,
"
146,"

Surprice.......
"
147,"

puan mana puan
"
148,"

Kl ngomel jgm asal2...subsidi bamyak dipakai buat orang kaya....inikan dialihkan ke subsidi org miskin...

Mikir dulu..pahami dulu..br komen
"
149,"

Terimakasih endasmu
"
150,"

 @FX Daniel  bertani memang ngga butuh pupuk ngga butuh obat yg semua harganya mahal lebi mahal dari pada hasil panen,,ngomong pake dengkul lo
"
151,"

Oreee oreeeee oreeeeee, bbm naik, gas  naik  , pajak bermacam macan naik. lapangan kerja tak ada. Bangunan semakin menggila rakyat jelata selamat tinggal. Air mata mu hanya tontonan.
"
152,"

Ada lagi yang mau komen?
Kalo enggak ada lagi biar saya tutup dengan doa 
"
153,"

Terimakasih bapak
"
154,"

Kendaraan juga butuh makan. Bukan cuma manusia aja
"
155,"

 @tiah 1209  Oooh ya,  ngapain kite ngurus dan meliat Negara lain. Negara lain itu udah kaya, makanya nggak ada Demo, perkapita mereka tinggi, mereka nggak perlu Bansos,  BLT,  PKH dll. Jadi jgn dibandingkan dg di Indonesia,  Mbak.
"
156,"

 @Benyamen Asih Christo  iy bang...orang miskin kan ga butuh bbm iya kan bg?
"
157,"

fix nanti malam beli mkn naik besok belanja langsung naik gaji gak naik
"
158,"

 @tiah 1209  jangan suka bohong tidak baik
"
159,"

Selamat menikmati pilihan loe pada wong cilik ... Loe diprank lg 
"
160,"

 @Tonny Fernando  drun coba di mana letak di jajah ama pemerintah asal kmu thu ya di malysia harga petronas perliter 10 rm jadi uang Indonesia 25 ribu rupiah coba bos mana yg mahal sok sok an klu mau enak ketja bos
"
161,"

Bersyukur dan berpura2 bahagia lah bagi mereka2 yg telah memilih dia jd pemimpin di negri dongeng yg kata nya sejahtera,,,
"
162,"

 @PUTTU WIRYO REJO  minum duluan gih.....bro Yuuk aku pingin lihat kamu duluan yang minum wahai penikmat BLT
"
163,"

 @Dudung Andimin  mantaf
"
164,"

 @Dudung Andimin  itu urusan pemerintahan dengan mobil pribadi. Bukan dg motor. Dan aku gak mau tau masalah itu. Yg jelas BBM naik semua kena imbas. Kalau anda berfikir pemerintah mensejahterakan rakyat. Anda salah. Karena apa??? Gaji PNS dinaikkan, tunjangan PNS dinaikkan. Tapi kerjanya PNS banyak yg korupsi dan gak becus. Lebih baik tunjangan mereka dibuat mensubsidi kan lebih baik.
"
165,"

 @Dudung Andimin  
"
166,"

 @gehan gehan  pendapatan perkapita malaysia dibanding indonesia bagaimana mas bro komen jangan asal ....daya belinya tinggi mana halooo mazeeee
"
167,"

 @Nalarku  sesuai ky nalarmu haha ww
"
168,"

INNALILLAHI WA INNAILAIHI RAJIUN.
"
169,"

 @Tonny Fernando  coba buktikan di jajah gimana bos
"
170,"

 @Saputra Bro  sabarr ya gk sendirian.....
"
171,"

 @Saputra Bro  klo gamebell jgn bikin anak!
"
172,"

 @Gaya Baru  haahaa klo q msih waras, msih sehat, msih bisa mikir logika waras,, gk bnyak nyiyir, gk bnyak bacot,,, gk bnyak ngeloh,,, hidup q santay,,, msih kerja, msih di ksih reziki,,, jdi msih tau mna yg baik dn yg gk baik,,, gk kayak kmu,,, nyiyir trus setiap  pemerintah memutuskn sesuatu
"
173,"

 @Saputra Bro  yang turun hanya SUSU
"
174,"

 @Ahyar Aulia  bangkrut ya di mana bos lihat sri langka bos gimana sok sok an komentar klu mau senang kerja bos jgn mengharapkan bantuan ngk ada malu nya cih
"
175,"

Jadi org kok hobi nya mengeluh terus..
"
176,"

 @PUTTU WIRYO REJO  hahaha lucu bro pura pura bahagia yaa hahahahaha penikmat Bansos dan BLT aja lalagaan
"
177,"

presiden dr orang kecil  atau jendral tetep mencekik yg miskin .terima kasih pak jokowi  sekali yg kami masyarakat miskin  mengucapkan  atas kebijaksanaanmu.
"
178,"

 @tiah 1209  mmg harus demo klo mmg kbijkan nya gk sesuai dengan kenyataan...... pemerintah itu penuh dengan berbagai alasan untuk berbisnis dengan rakyatnya sendri.....ini terjadi karena pemerintah selalu kiblatnya Amerika.....andaii klo kita terima tawaran ambil bbm dari rusia seperti india....pasti gk srrumit ini jadinya
"
179,"

 @PUTTU WIRYO REJO   makanya jangan benci arab, arab negara minyak 
Jangan mau beli pake dolar yg di dikte dengan devisa negara
Makanya jangan benci rusia atau takut sanksi dari Amerika
Beli tu minyak rusia yg murah

Setela harga bbm naik kali ini saya dukung langka pemerinta untuk beli minyak dri  rusia
"
180,"

 @Saputra Bro  kmu udh keluar negri ngk asal kmu thu harga bensin di Saudi perliter 30 real uang Indonesia 150 ribu rupiah asal kmu thu ya jgn sok sok an berkomentar  kmu pikir negara Saudi ngk berhutang bos
"
181,"

 @tiah 1209  yang kamu bandingin dengan negara apa?
Negara yang dari dulu memang ekonomi nya setara atau dibawah kita.

BBM naik ini akan berimbas ke semuanya. Bukan hanya minyak yang naik, semuanya pasti akan ikut naik.
"
182,"

BBM naik nggak ngaruh  yang penting SUSU tidak naik
"
183,"

Orang miskin mana ada yg punya motor...
"
184,"

 @Rizal Fauzi  kangen tangisannya puan kayak jaman SBY 
"
185,"

 @Muhamad Muhit  drun pk sby korupsi berjemaha aduh ngk salah dtun tolong kasih thu anak pk suharto secepatnya kembalikan uang rakyat yg di pinjam selama 32 th dru kaya nya kmu kelahiran kemarin sore sok sanjung yg rampok uang rakyat cih tahi
"
186,"

 @Dudung Andimin  BUMN dibuat untuk memenuhi kebutuhan rakyat.
Bukan untuk cari untung.

Yang anehnya kan kok Pertamax turun.
ini narasi saja untuk menutupi orang kaya resah dengan harga Pertamax dan ingin disubsidi juga
"
187,"

 @Denis Pushilin(Денис Пушилін)  wkwwkw gk usah rasis,,, gk penting
"
188,"

Hidup pemerintah,,,,, hidup,,,,hidup,,,,,josssss 150 periode,,,,,biar masyarakat kecil pada mampusss,,,eeehheeehheeeee,,,,,,,saya rindu lagu Megawati Soekarnoputri,,,,hheeehheeehheee
"
189,"

 @gehan gehan  negara maju ttgga pertamax dsubsidi rp6000 brlomba2 mnsejahteraken rkyat
"
190,"

 @Gaya Baru  eh coba berapa jumlah penduduk Indonesia dan malysia sbb aku kerja di malysia majikan ku baru beli itu maka ya saya thu harga di malysia cih kmu cuman di Indonesiaajak
"
191,"

bantuane gawe sing  duwe mabil tok lur sing mlarat njebur summmur ya?
"
192,"

 @Gaya Baru  wkwwkw yg lucu itu kmu,,, knpa gk jdi dukunkyak samsudin,,, sok tau,  tentang hidup orang ngapain pura""bahagia,,, hidupmu apa adanya,,, msih mmpu beli mobil pasti mmpu beli bbm,,, dri jman jebot ada bbm naik sellu demo nyalahin pemerintah,,, tpi semakin kesini orang indonesia semakin kaya,,, nyatanya jlan""macet bnyak mobil pribadi, motor,,, mikir dong mikir
"
193,"

Mari kita belajar untuk tegar, jangan dikit2 ngeluh,dikit2 ngeluh, kita di luar jawa/sumatera,apa2 mahal, sudah biasa, apa lagi kl bbm seliter segitu, kita gak kaget lah!, biasa2 aja. Kami dah biasa sekali makan, 20 rb lebih sudah biasa, pa lagi cuma 20rb sehari utk bbm gak habis.
"
194,"

 @tiah 1209  yg demo itu di bayar. dpt uang demi uang rela mencaci maki pk Jokowi itu lh orang yang iri lihat pk Jokowi  dulu di zaman pk sby dan suharto mana ada lasung di kasih thu kaya gini
"
195,"

 @tiah 1209  betul sekali itu
"
196,"

 @gehan gehan  skrg djajah dgn ekonomi setelah jepang sdgken negara tgga brlomba2 mnsejahteraken rakyat krn sdh merdeka sjk jmn dulu kala
"
197,"

Saya mah ikut aja sama kebijakan pemerintah yg penting BBM nya ada ga susah mau naik berapa juga engga masalah  buat sayah karna saya tida punya motor / mobil  ada bahan poko naik dan saya pun tida keberatan karna saya terbiasa dengan hidup seder Hana  
"
198,"

 @tiah 1209  saya pikir itu yg komen itu bocah. Zyg kemarin sore lahir bang  klu dia lahir zaman suharto mengkeritik lasung di karung buang ke laut tinggal nama ya
"
199,"

 @PUTTU WIRYO REJO  hahaha sok asik ya bang
"
200,"

 @Halziq Akbar  kamu tahu bayaran kuli dijawa ?bukan ngeluh bro tapi efeknya luas
"
201,"

 @Nalarku  kmu benci dg kebijakan pk Jokowi klu mau senang kerja bos jgn mengharapkan bantuan terus pk Jokowi akan melibas orang yang kroupsi ingat itu cikeas sebentar lgi akan tamat
"
202,"

 @Benyamen Asih Christo  mau ya setara tpi pk Jokowi mementingkan rakyat yang ngk mampu thebes pk Jokowi
"
203,"

 @gehan gehan  bukan masalah jumlah penduduk kan lu bilang harga di malaysia mahal tapi kan sebanding dengan pendapatan perkapita mereka
"
204,"

Kami sedusun yg mendukung pakdhe hampir 3 periode cuma bisa berkata
""KECEWAAA""
"
205,"

 @Imin Uhty  siapa bilg murah coba kmu suruh Ukraina sana kirimi kmu pupuk biar murah sok sok an berkomentar cih keluarga ku sajak bertani ngk mengeluh pas murah mulut mu diam pas naik mulut mu ngk diam menyalahin pk Jokowi kmu ni ngk bersyukur
"
206,"

 @Saputra Bro  makan rumput aja kalo masih ada 
"
207,"

 @Af  coba kerja cuci piring bos ngk mugkin ngk ada kerja di Indonesia tpi kmu males cari kerja mengharap kan bantuan drun
"
208,"

 @An Nis  salah ya pk suharto dan sby korupsi berjemaha coba 42 th dan sby 10 th berjabat jgn kroupsi mugkin rakyat ya makmur Indonesia maju dan sejahtera  yg komen menyalahkan pk Jokowi it biasa kolompok sebelah yg mau berkuasa
"
209,"

 @Rian Dp  hahahaaaaa kamu ngerti apa bro masalah pemerintah kiblatnya ke kadrun gitu lo itu ga usah sok tau politik makan aja nunggu bansos makanya kerja jadi hidup lo ga susah yg disslahin pemerintah cieee cieee
"
210,"

 @Saputra Bro  ditempatku yg dpt bansos yg bermobil yg rumahya bagus/tingkat ada juga yg punya warung
"
211,"

BBM di nerf habis2an semoga masyarakat bisa menghadapi moment2 ini 
"
212,"

Ucapannya pejabat2 ini lembut lembut semua,  berbeda ketika..
mengumumkan HASIL CAPAIAN PROYEK. Sangat BERAPI API
"
213,"

HADIAH TERINDAH KE 77 TAHUN INDONESIA...TERIMAKASIH JOKOWI
"
214,"

Ya Allah semoga negeri ini tetap baik-baik saja 
"
215,"

Tetap sehat Pa Pres, Ibu smi, dan ibu risma, pilihan yg berat ttp hrs diambil utk memenuhi rasa keadilan, walaupun tetap berat bagi sebagian besar org
"
216,"

Alhamdulilah pak sudah naik,jangan lupa pak aplikasi nya juga terapkan biar tambah sejahtera rakyat ini.biarvekenomi kita semakin meroket lagi yah seperti yang diberitakan selama ini.biarlah kami rakyat yang merasakannya kesengsaraan ini.trimkasih
"
217,"


"
218,"


"
219,"

Hihihihihi inilah Indonesia negri dongeng yg pemimpinnya orang"" jenius maka,nya mereka pada sejahtera.
"
220,"

BBM naik aflikasi juga harus di terapkan biar untungnya dua kali.
"
221,"

Wonderful Indonesia Dengan Kearifan Lokal Yang Tiada Tara 
"
222,"

Yudalahalah semua Ha kok Perlu khawatir
"
223,"

 @Hadad J  akibat terlalu memaksakan pindah ibu kota ya gini... buk mega kok ga nagis ya, seigat gua dlu zaman SBY nagis nagis ksian katanya rakyat 
"
224,"

Kendaraan juga butuh makan. Bukan cuma manusia saja
"
